publisher,mobility_type,conversion_country,country_code_by_phone,asset_country,attribution_type,platform,duration_install_to_activation,conversions,month
PublisherE,Other,DE,DE,DE,retargeting,No Device,<2h,2,2022-01-01
PublisherE,Other,DE,#N/A,DE,retargeting,No Device,<2h,1,2022-01-01
PublisherE,Private Hire,DE,DE,DE,retargeting,ios,<2h,1,2022-01-01
PublisherF,Other,DE,DE,DE,install,No Device,<24h,1,2022-01-01
PublisherF,Other,DE,DE,DE,install,No Device,<2h,4,2022-01-01
PublisherF,Other,DE,#N/A,DE,install,No Device,<24h,2,2022-01-01
PublisherF,Other,DE,DE,DE,install,ios,<2h,2,2022-01-01
PublisherF,Other,DE,DE,DE,reattr,No Device,>24h,1,2022-01-01
PublisherF,Other,DE,DE,DE,retargeting,No Device,<24h,1,2022-01-01
PublisherF,Other,DE,DE,DE,retargeting,No Device,<2h,4,2022-01-01
PublisherF,Other,DE,DE,DE,retargeting,No Device,>24h,2,2022-01-01
PublisherF,Other,DE,#N/A,DE,retargeting,No Device,<2h,1,2022-01-01
PublisherF,Other,DE,DE,DE,retargeting,ios,<2h,1,2022-01-01
PublisherF,TAXI,DE,DE,DE,install,No Device,<24h,1,2022-01-01
PublisherF,TAXI,DE,DE,DE,install,android,<24h,2,2022-01-01
PublisherF,TAXI,DE,DE,DE,install,android,>24h,1,2022-01-01
PublisherF,TAXI,DE,DE,DE,install,ios,<24h,2,2022-01-01
PublisherF,TAXI,DE,DE,DE,install,ios,<2h,1,2022-01-01
PublisherF,TAXI,DE,#N/A,DE,install,ios,<24h,1,2022-01-01
PublisherF,TAXI,DE,DE,DE,retargeting,No Device,<2h,2,2022-01-01
PublisherF,TAXI,DE,DE,DE,retargeting,android,<2h,2,2022-01-01
PublisherF,TAXI,DE,#N/A,DE,retargeting,android,<2h,1,2022-01-01
PublisherF,TAXI,DE,DE,DE,retargeting,ios,<2h,4,2022-01-01
PublisherF,TAXI,DE,DE,DE,retargeting,ios,>24h,3,2022-01-01
PublisherF,Private Hire,DE,AT,DE,install,No Device,<24h,1,2022-01-01
PublisherF,Private Hire,DE,DE,DE,install,android,<24h,3,2022-01-01
PublisherF,Private Hire,DE,DE,DE,install,android,>24h,3,2022-01-01
PublisherF,Private Hire,DE,DE,DE,install,ios,<24h,23,2022-01-01
PublisherF,Private Hire,DE,DE,DE,install,ios,<2h,24,2022-01-01
PublisherF,Private Hire,DE,GR,DE,install,ios,<24h,1,2022-01-01
PublisherF,Private Hire,DE,#N/A,DE,install,ios,<2h,1,2022-01-01
PublisherF,Private Hire,DE,DE,DE,reattr,ios,>24h,1,2022-01-01
PublisherF,Private Hire,DE,DE,DE,retargeting,android,<24h,1,2022-01-01
PublisherF,Private Hire,DE,DE,DE,retargeting,android,<2h,7,2022-01-01
PublisherF,Private Hire,DE,DE,DE,retargeting,android,>24h,1,2022-01-01
PublisherF,Private Hire,DE,IT,DE,retargeting,android,>24h,1,2022-01-01
PublisherF,Private Hire,DE,PL,DE,retargeting,android,<24h,1,2022-01-01
PublisherF,Private Hire,DE,DE,DE,retargeting,ios,<2h,7,2022-01-01
PublisherF,Private Hire,DE,DE,DE,retargeting,ios,>24h,3,2022-01-01
PublisherH,Private Hire,DE,DE,DE,install,android,<2h,1,2022-01-01
PublisherI,Other,DE,DE,DE,install,No Device,<24h,1,2022-01-01
PublisherI,Other,DE,DE,DE,install,No Device,<2h,3,2022-01-01
PublisherI,Other,DE,DE,DE,install,ios,<2h,3,2022-01-01
PublisherI,Other,DE,DE,DE,reattr,No Device,>24h,1,2022-01-01
PublisherI,Other,DE,DE,DE,retargeting,No Device,<24h,31,2022-01-01
PublisherI,Other,DE,DE,DE,retargeting,No Device,<2h,22,2022-01-01
PublisherI,Other,DE,DE,DE,retargeting,No Device,>24h,1,2022-01-01
PublisherI,Other,DE,GR,DE,retargeting,No Device,<2h,1,2022-01-01
PublisherI,Other,DE,#N/A,DE,retargeting,No Device,<2h,3,2022-01-01
PublisherI,Other,DE,DE,DE,retargeting,android,<24h,1,2022-01-01
PublisherI,Other,DE,DE,DE,retargeting,android,<2h,2,2022-01-01
PublisherI,TAXI,DE,DE,DE,install,No Device,<24h,3,2022-01-01
PublisherI,TAXI,DE,DE,DE,install,No Device,<2h,1,2022-01-01
PublisherI,TAXI,DE,#N/A,DE,install,No Device,<24h,1,2022-01-01
PublisherI,TAXI,DE,DE,DE,install,ios,<24h,12,2022-01-01
PublisherI,TAXI,DE,DE,DE,install,ios,<2h,16,2022-01-01
PublisherI,TAXI,DE,UK,DE,install,ios,<24h,2,2022-01-01
PublisherI,TAXI,DE,UK,DE,install,ios,<2h,1,2022-01-01
PublisherI,TAXI,DE,ES,DE,install,ios,<24h,1,2022-01-01
PublisherI,TAXI,DE,#N/A,DE,install,ios,<24h,7,2022-01-01
PublisherI,TAXI,DE,#N/A,DE,install,ios,<2h,2,2022-01-01
PublisherI,TAXI,DE,DE,DE,reattr,android,<24h,1,2022-01-01
PublisherI,TAXI,DE,#N/A,DE,reattr,android,<24h,1,2022-01-01
PublisherI,TAXI,DE,DE,DE,retargeting,No Device,<24h,5,2022-01-01
PublisherI,TAXI,DE,DE,DE,retargeting,No Device,<2h,2,2022-01-01
PublisherI,TAXI,DE,DE,DE,retargeting,android,<24h,37,2022-01-01
PublisherI,TAXI,DE,DE,DE,retargeting,android,<2h,28,2022-01-01
PublisherI,TAXI,DE,DE,DE,retargeting,android,>24h,2,2022-01-01
PublisherI,TAXI,DE,IT,DE,retargeting,android,<2h,1,2022-01-01
PublisherI,TAXI,DE,ES,DE,retargeting,android,<2h,1,2022-01-01
PublisherI,TAXI,DE,#N/A,DE,retargeting,android,<24h,2,2022-01-01
PublisherI,TAXI,DE,#N/A,DE,retargeting,android,<2h,4,2022-01-01
PublisherI,Private Hire,DE,DE,DE,install,No Device,<24h,2,2022-01-01
PublisherI,Private Hire,DE,GR,DE,install,No Device,<2h,1,2022-01-01
PublisherI,Private Hire,DE,DE,DE,install,ios,<24h,15,2022-01-01
PublisherI,Private Hire,DE,DE,DE,install,ios,<2h,23,2022-01-01
PublisherI,Private Hire,DE,IE,DE,install,ios,<24h,1,2022-01-01
PublisherI,Private Hire,DE,SE,DE,install,ios,<24h,2,2022-01-01
PublisherI,Private Hire,DE,#N/A,DE,install,ios,<24h,3,2022-01-01
PublisherI,Private Hire,DE,#N/A,DE,install,ios,<2h,2,2022-01-01
PublisherI,Private Hire,DE,DE,DE,reattr,android,<24h,2,2022-01-01
PublisherI,Private Hire,DE,DE,DE,reattr,android,<2h,1,2022-01-01
PublisherI,Private Hire,DE,DE,DE,reattr,android,>24h,2,2022-01-01
PublisherI,Private Hire,DE,DE,DE,retargeting,No Device,<24h,8,2022-01-01
PublisherI,Private Hire,DE,DE,DE,retargeting,No Device,<2h,4,2022-01-01
PublisherI,Private Hire,DE,AT,DE,retargeting,android,<24h,2,2022-01-01
PublisherI,Private Hire,DE,DE,DE,retargeting,android,<24h,64,2022-01-01
PublisherI,Private Hire,DE,DE,DE,retargeting,android,<2h,41,2022-01-01
PublisherI,Private Hire,DE,DE,DE,retargeting,android,>24h,5,2022-01-01
PublisherI,Private Hire,DE,IT,DE,retargeting,android,<24h,1,2022-01-01
PublisherI,Private Hire,DE,IT,DE,retargeting,android,<2h,1,2022-01-01
PublisherI,Private Hire,DE,FR,DE,retargeting,android,<24h,1,2022-01-01
PublisherI,Private Hire,DE,ES,DE,retargeting,android,>24h,1,2022-01-01
PublisherI,Private Hire,DE,PT,DE,retargeting,android,<2h,1,2022-01-01
PublisherI,Private Hire,DE,#N/A,DE,retargeting,android,<24h,5,2022-01-01
PublisherI,Private Hire,DE,#N/A,DE,retargeting,android,<2h,4,2022-01-01
PublisherI,Private Hire,DE,#N/A,DE,retargeting,android,>24h,2,2022-01-01
PublisherK,Other,DE,DE,DE,install,No Device,<24h,1,2022-01-01
PublisherK,Other,DE,#N/A,DE,install,No Device,<2h,1,2022-01-01
PublisherK,TAXI,DE,AT,DE,install,No Device,<24h,1,2022-01-01
PublisherK,TAXI,DE,DE,DE,install,ios,<24h,8,2022-01-01
PublisherK,TAXI,DE,DE,DE,install,ios,<2h,4,2022-01-01
PublisherK,TAXI,DE,ES,DE,install,ios,<24h,1,2022-01-01
PublisherK,TAXI,DE,#N/A,DE,install,ios,<24h,1,2022-01-01
PublisherK,TAXI,DE,#N/A,DE,install,ios,<2h,2,2022-01-01
PublisherK,Private Hire,DE,DE,DE,install,No Device,<24h,1,2022-01-01
PublisherK,Private Hire,DE,DE,DE,install,No Device,<2h,1,2022-01-01
PublisherK,Private Hire,DE,AT,DE,install,ios,<2h,1,2022-01-01
PublisherK,Private Hire,DE,DE,DE,install,ios,<24h,12,2022-01-01
PublisherK,Private Hire,DE,DE,DE,install,ios,<2h,16,2022-01-01
PublisherK,Private Hire,DE,UK,DE,install,ios,<24h,1,2022-01-01
PublisherK,Private Hire,DE,#N/A,DE,install,ios,<2h,2,2022-01-01
PublisherL,TAXI,DE,DE,DE,install,ios,<2h,1,2022-01-01
PublisherN,Other,DE,DE,DE,install,No Device,<2h,2,2022-01-01
PublisherN,Other,DE,DE,DE,retargeting,No Device,<24h,5,2022-01-01
PublisherN,Other,DE,DE,DE,retargeting,No Device,<2h,3,2022-01-01
PublisherN,Other,DE,DE,DE,retargeting,ios,<24h,1,2022-01-01
PublisherN,TAXI,DE,DE,DE,install,ios,<2h,1,2022-01-01
PublisherN,TAXI,DE,DE,DE,retargeting,ios,<24h,1,2022-01-01
PublisherN,Private Hire,DE,DE,DE,install,android,<24h,1,2022-01-01
PublisherN,Private Hire,DE,DE,DE,install,ios,<24h,3,2022-01-01
PublisherN,Private Hire,DE,DE,DE,install,ios,<2h,3,2022-01-01
PublisherN,Private Hire,DE,DE,DE,retargeting,No Device,<2h,1,2022-01-01
PublisherN,Private Hire,DE,DE,DE,retargeting,android,<24h,1,2022-01-01
PublisherN,Private Hire,DE,DE,DE,retargeting,ios,<24h,3,2022-01-01
PublisherN,Private Hire,DE,GR,DE,retargeting,ios,<24h,1,2022-01-01
PublisherP,Other,DE,DE,DE,install,No Device,<24h,1,2022-01-01
PublisherP,Other,DE,DE,DE,install,No Device,<2h,1,2022-01-01
PublisherP,Other,DE,DE,DE,install,No Device,>24h,1,2022-01-01
PublisherS,Other,DE,DE,DE,install,No Device,<24h,18,2022-01-01
PublisherS,Other,DE,DE,DE,install,No Device,<2h,54,2022-01-01
PublisherS,Other,DE,DE,DE,install,No Device,>24h,6,2022-01-01
PublisherS,Other,DE,FR,DE,install,No Device,<24h,1,2022-01-01
PublisherS,Other,DE,DE,DE,install,ios,<24h,6,2022-01-01
PublisherS,Other,DE,DE,DE,install,ios,<2h,23,2022-01-01
PublisherS,Other,DE,GR,DE,install,ios,>24h,1,2022-01-01
PublisherS,Other,DE,#N/A,DE,install,ios,<2h,1,2022-01-01
PublisherS,TAXI,DE,DE,DE,install,No Device,<24h,13,2022-01-01
PublisherS,TAXI,DE,DE,DE,install,No Device,<2h,22,2022-01-01
PublisherS,TAXI,DE,UK,DE,install,No Device,<24h,1,2022-01-01
PublisherS,TAXI,DE,ES,DE,install,No Device,<24h,1,2022-01-01
PublisherS,TAXI,DE,ES,DE,install,No Device,<2h,1,2022-01-01
PublisherS,TAXI,DE,#N/A,DE,install,No Device,<24h,2,2022-01-01
PublisherS,TAXI,DE,#N/A,DE,install,No Device,<2h,2,2022-01-01
PublisherS,TAXI,DE,DE,DE,install,android,<24h,2,2022-01-01
PublisherS,TAXI,DE,AT,DE,install,ios,<2h,1,2022-01-01
PublisherS,TAXI,DE,DE,DE,install,ios,<24h,145,2022-01-01
PublisherS,TAXI,DE,DE,DE,install,ios,<2h,407,2022-01-01
PublisherS,TAXI,DE,DE,DE,install,ios,>24h,6,2022-01-01
PublisherS,TAXI,DE,IT,DE,install,ios,<24h,3,2022-01-01
PublisherS,TAXI,DE,IT,DE,install,ios,<2h,2,2022-01-01
PublisherS,TAXI,DE,GR,DE,install,ios,<24h,1,2022-01-01
PublisherS,TAXI,DE,GR,DE,install,ios,<2h,2,2022-01-01
PublisherS,TAXI,DE,UK,DE,install,ios,<24h,5,2022-01-01
PublisherS,TAXI,DE,UK,DE,install,ios,<2h,4,2022-01-01
PublisherS,TAXI,DE,FR,DE,install,ios,<2h,1,2022-01-01
PublisherS,TAXI,DE,ES,DE,install,ios,<24h,1,2022-01-01
PublisherS,TAXI,DE,ES,DE,install,ios,<2h,1,2022-01-01
PublisherS,TAXI,DE,PL,DE,install,ios,<24h,3,2022-01-01
PublisherS,TAXI,DE,PL,DE,install,ios,<2h,1,2022-01-01
PublisherS,TAXI,DE,PT,DE,install,ios,<24h,2,2022-01-01
PublisherS,TAXI,DE,SE,DE,install,ios,<24h,1,2022-01-01
PublisherS,TAXI,DE,#N/A,DE,install,ios,<24h,18,2022-01-01
PublisherS,TAXI,DE,#N/A,DE,install,ios,<2h,29,2022-01-01
PublisherS,Private Hire,DE,DE,DE,install,No Device,<24h,19,2022-01-01
PublisherS,Private Hire,DE,DE,DE,install,No Device,<2h,63,2022-01-01
PublisherS,Private Hire,DE,DE,DE,install,No Device,>24h,1,2022-01-01
PublisherS,Private Hire,DE,UK,DE,install,No Device,<24h,1,2022-01-01
PublisherS,Private Hire,DE,ES,DE,install,No Device,<2h,1,2022-01-01
PublisherS,Private Hire,DE,#N/A,DE,install,No Device,<2h,1,2022-01-01
PublisherS,Private Hire,DE,DE,DE,install,android,<24h,1,2022-01-01
PublisherS,Private Hire,DE,DE,DE,install,android,<2h,1,2022-01-01
PublisherS,Private Hire,DE,#N/A,DE,install,android,<2h,1,2022-01-01
PublisherS,Private Hire,DE,AT,DE,install,ios,<2h,2,2022-01-01
PublisherS,Private Hire,DE,DE,DE,install,ios,<24h,285,2022-01-01
PublisherS,Private Hire,DE,DE,DE,install,ios,<2h,876,2022-01-01
PublisherS,Private Hire,DE,DE,DE,install,ios,>24h,35,2022-01-01
PublisherS,Private Hire,DE,IT,DE,install,ios,<24h,1,2022-01-01
PublisherS,Private Hire,DE,GR,DE,install,ios,<24h,1,2022-01-01
PublisherS,Private Hire,DE,UK,DE,install,ios,<24h,3,2022-01-01
PublisherS,Private Hire,DE,UK,DE,install,ios,<2h,3,2022-01-01
PublisherS,Private Hire,DE,IE,DE,install,ios,<24h,1,2022-01-01
PublisherS,Private Hire,DE,PT,DE,install,ios,<24h,1,2022-01-01
PublisherS,Private Hire,DE,#N/A,DE,install,ios,<24h,14,2022-01-01
PublisherS,Private Hire,DE,#N/A,DE,install,ios,<2h,25,2022-01-01
PublisherT,Other,DE,DE,DE,install,No Device,<24h,2,2022-01-01
PublisherT,Other,DE,DE,DE,install,No Device,<2h,7,2022-01-01
PublisherT,Other,DE,ES,DE,install,No Device,<24h,1,2022-01-01
PublisherT,Other,DE,DE,DE,install,android,<24h,1,2022-01-01
PublisherT,Other,DE,DE,DE,install,ios,<2h,2,2022-01-01
PublisherT,TAXI,DE,DE,DE,install,No Device,<24h,4,2022-01-01
PublisherT,TAXI,DE,DE,DE,install,No Device,<2h,2,2022-01-01
PublisherT,TAXI,DE,IT,DE,install,No Device,<24h,1,2022-01-01
PublisherT,TAXI,DE,UK,DE,install,No Device,<24h,1,2022-01-01
PublisherT,TAXI,DE,#N/A,DE,install,No Device,<24h,2,2022-01-01
PublisherT,TAXI,DE,#N/A,DE,install,No Device,<2h,1,2022-01-01
PublisherT,TAXI,DE,DE,DE,install,android,<24h,2,2022-01-01
PublisherT,TAXI,DE,DE,DE,install,android,<2h,1,2022-01-01
PublisherT,TAXI,DE,AT,DE,install,ios,<2h,1,2022-01-01
PublisherT,TAXI,DE,DE,DE,install,ios,<24h,23,2022-01-01
PublisherT,TAXI,DE,DE,DE,install,ios,<2h,28,2022-01-01
PublisherT,TAXI,DE,UK,DE,install,ios,<2h,1,2022-01-01
PublisherT,TAXI,DE,ES,DE,install,ios,<24h,1,2022-01-01
PublisherT,TAXI,DE,PL,DE,install,ios,<24h,1,2022-01-01
PublisherT,TAXI,DE,PT,DE,install,ios,<24h,1,2022-01-01
PublisherT,TAXI,DE,SE,DE,install,ios,<24h,1,2022-01-01
PublisherT,TAXI,DE,#N/A,DE,install,ios,<24h,3,2022-01-01
PublisherT,TAXI,DE,#N/A,DE,install,ios,<2h,8,2022-01-01
PublisherT,Private Hire,DE,DE,DE,install,No Device,<24h,8,2022-01-01
PublisherT,Private Hire,DE,DE,DE,install,No Device,<2h,11,2022-01-01
PublisherT,Private Hire,DE,IT,DE,install,No Device,<24h,1,2022-01-01
PublisherT,Private Hire,DE,UK,DE,install,No Device,<24h,2,2022-01-01
PublisherT,Private Hire,DE,#N/A,DE,install,No Device,<24h,2,2022-01-01
PublisherT,Private Hire,DE,#N/A,DE,install,No Device,<2h,1,2022-01-01
